YEAR,PROVINCE,DISTRIC,SEX,VALUE,UNIT,SOURCE
2564,ขอนแก่น,รวม,ชาย,879849.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อุดรธานี,รวม,ชาย,775357.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,เลย,รวม,ชาย,319949.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,หนองคาย,รวม,ชาย,256268.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มหาสารคาม,รวม,ชาย,464976.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ร้อยเอ็ด,รวม,ชาย,641883.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กาฬสินธุ์,รวม,ชาย,481988.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สกลนคร,รวม,ชาย,569364.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครพนม,รวม,ชาย,357096.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,มุกดาหาร,รวม,ชาย,175633.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นครศรีธรรมราช,รวม,ชาย,764471.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กระบี่,รวม,ชาย,238092.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พังงา,รวม,ชาย,133785.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ภูเก็ต,รวม,ชาย,197874.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สุราษฎร์ธานี,รวม,ชาย,527349.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระนอง,รวม,ชาย,98136.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชุมพร,รวม,ชาย,251405.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สงขลา,รวม,ชาย,697256.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สตูล,รวม,ชาย,161640.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ตรัง,รวม,ชาย,312693.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พัทลุง,รวม,ชาย,254425.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปัตตานี,รวม,ชาย,360348.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ยะลา,รวม,ชาย,269907.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นราธิวาส,รวม,ชาย,400501.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,กรุงเทพมหานคร,รวม,หญิง,2935702.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สมุทรปราการ,รวม,หญิง,710565.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,นนทบุรี,รวม,หญิง,689470.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ปทุมธานี,รวม,หญิง,626209.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,พระนครศรีอยุธยา,รวม,หญิง,426488.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,อ่างทอง,รวม,หญิง,143364.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ลพบุรี,รวม,หญิง,370740.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สิงห์บุรี,รวม,หญิง,107382.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชัยนาท,รวม,หญิง,166470.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,สระบุรี,รวม,หญิง,327762.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ชลบุรี,รวม,หญิง,811209.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
2564,ระยอง,รวม,หญิง,382351.00,คน,"กรมการปกครอง กระทรวงมหาดไทย"
